"New.Classification","Biome6000.Classification"
"Cold Deciduous Forest","Cold Deciduous Forest"
"Cold Evergreen Needleleaf Forest","Cold Evergreen Needleleaf Forest"
"Temperate Deciduous Broadleaf Forest","Temperate Deciduous Broadleaf Forest, Cold mixed forest, Temperate evergreen needleleaf forest"
"Cool Temperate Evergreen Needleleaf And Mixed Forest","Cool Temperate Evergreen Needleleaf And Mixed Forest"
"Cool Temperate Rainforest","Cool Temperate Rainforest, Warm temperate rainforest"
"Cool Evergreen Needleleaf Forest","Cool Evergreen Needleleaf Forest"
"Cool Mixed Forest","Cool Mixed Forest"
"Desert","Desert"
"Erect Dwarf Shrub Tundra","Erect Dwarf Shrub Tundra, Prostrate dwarf shrub tundra"
"Graminoid And Forb Tundra","Graminoid And Forb Tundra"
"Low And High Shrub Tundra","Low And High Shrub Tundra"
"Steppe","Steppe"
"Warm Temperate Evergreen Broadleaf And Mixed Forest","Warm Temperate Evergreen Broadleaf And Mixed Forest, Warm temperate evergreen broadleaf forest, Temperate evergreen needleleaf forest"
"Temperate Evergreen Needleleaf Open Woodland","Temperate Evergreen Needleleaf Open Woodland"
"Xerophytic Woods/Scrub","Xerophytic Woods/Scrub, Temperate grassland and xerophytic shrubland, Temperate or tropical grassland and xerophytic shrubland"
"Temperate Sclerophyll Woodland And Shrubland","Temperate Sclerophyll Woodland And Shrubland"
"Tropical Deciduous Broadleaf Forest And Woodland","Tropical Deciduous Broadleaf Forest And Woodland"
"Tropical Evergreen Broadleaf Forest","Tropical Evergreen Broadleaf Forest"
"Tropical Savanna","Tropical Savanna"
"Tropical Semi Evergreen Broadleaf Forest","Tropical Semi Evergreen Broadleaf Forest"
"Tundra","Tundra"
